"train/global_step","[benchmark_diff32]GSPO - _step","[benchmark_diff32]GSPO - _step__MIN","[benchmark_diff32]GSPO - _step__MAX","[benchmark_diff32]GSPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GSPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GSPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GRPO - _step","[benchmark_diff32]GRPO - _step__MIN","[benchmark_diff32]GRPO - _step__MAX","[benchmark_diff32]GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]dr_GRPO - _step","[benchmark_diff32]dr_GRPO - _step__MIN","[benchmark_diff32]dr_GRPO - _step__MAX","[benchmark_diff32]dr_GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]dr_GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]dr_GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GEPO - _step","[benchmark_diff32]GEPO - _step__MIN","[benchmark_diff32]GEPO - _step__MAX","[benchmark_diff32]GEPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GEPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GEPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX"
"64","2692","2692","2692","0.33125","0.33125","0.33125","2692","2692","2692","0.28125","0.28125","0.28125","2692","2692","2692","0.2875","0.2875","0.2875","2692","2692","2692","0.296875","0.296875","0.296875"
"128","6453","6453","6453","0.4125","0.4125","0.4125","6453","6453","6453","0.309375","0.309375","0.309375","6453","6453","6453","0.290625","0.290625","0.290625","6453","6453","6453","0.375","0.375","0.375"
"192","10214","10214","10214","0.46875","0.46875","0.46875","10214","10214","10214","0.3","0.3","0.3","10214","10214","10214","0.29375","0.29375","0.29375","10214","10214","10214","0.425","0.425","0.425"
"256","13975","13975","13975","0.525","0.525","0.525","13975","13975","13975","0.328125","0.328125","0.328125","13975","13975","13975","0.3375","0.3375","0.3375","13975","13975","13975","0.471875","0.471875","0.471875"
"320","17736","17736","17736","0.45","0.45","0.45","17736","17736","17736","0.359375","0.359375","0.359375","17736","17736","17736","0.34375","0.34375","0.34375","17736","17736","17736","0.471875","0.471875","0.471875"
"384","21497","21497","21497","0.434375","0.434375","0.434375","21497","21497","21497","0.359375","0.359375","0.359375","21497","21497","21497","0.35","0.35","0.35","21497","21497","21497","0.475","0.475","0.475"
"448","25258","25258","25258","0.440625","0.440625","0.440625","25258","25258","25258","0.39375","0.39375","0.39375","25258","25258","25258","0.371875","0.371875","0.371875","25258","25258","25258","0.515625","0.515625","0.515625"
"512","29019","29019","29019","0.409375","0.409375","0.409375","29019","29019","29019","0.38125","0.38125","0.38125","29019","29019","29019","0.371875","0.371875","0.371875","29019","29019","29019","0.5125","0.5125","0.5125"
"576","32780","32780","32780","0.48125","0.48125","0.48125","32780","32780","32780","0.403125","0.403125","0.403125","32780","32780","32780","0.35","0.35","0.35","32780","32780","32780","0.496875","0.496875","0.496875"
"640","36541","36541","36541","0.184375","0.184375","0.184375","36541","36541","36541","0.4125","0.4125","0.4125","36541","36541","36541","0.4","0.4","0.4","36541","36541","36541","0.496875","0.496875","0.496875"
"704","40302","40302","40302","0.475","0.475","0.475","40302","40302","40302","0.446875","0.446875","0.446875","40302","40302","40302","0.38125","0.38125","0.38125","40302","40302","40302","0.503125","0.503125","0.503125"
"768","44063","44063","44063","0.484375","0.484375","0.484375","44063","44063","44063","0.421875","0.421875","0.421875","44063","44063","44063","0.409375","0.409375","0.409375","44063","44063","44063","0.496875","0.496875","0.496875"
"832","47824","47824","47824","0.525","0.525","0.525","47824","47824","47824","0.440625","0.440625","0.440625","47824","47824","47824","0.415625","0.415625","0.415625","47824","47824","47824","0.51875","0.51875","0.51875"
"896","51585","51585","51585","0.54375","0.54375","0.54375","51585","51585","51585","0.43125","0.43125","0.43125","51585","51585","51585","0.434375","0.434375","0.434375","51585","51585","51585","0.496875","0.496875","0.496875"
"960","55346","55346","55346","0.51875","0.51875","0.51875","55346","55346","55346","0.446875","0.446875","0.446875","55346","55346","55346","0.409375","0.409375","0.409375","55346","55346","55346","0.521875","0.521875","0.521875"
"1024","59107","59107","59107","0.503125","0.503125","0.503125","59107","59107","59107","0.446875","0.446875","0.446875","59107","59107","59107","0.421875","0.421875","0.421875","59107","59107","59107","0.5125","0.5125","0.5125"
"1088","62868","62868","62868","0.50625","0.50625","0.50625","62868","62868","62868","0.45","0.45","0.45","62868","62868","62868","0.465625","0.465625","0.465625","62868","62868","62868","0.53125","0.53125","0.53125"
"1152","66629","66629","66629","0.503125","0.503125","0.503125","66629","66629","66629","0.46875","0.46875","0.46875","66629","66629","66629","0.440625","0.440625","0.440625","66629","66629","66629","0.53125","0.53125","0.53125"
"1216","70390","70390","70390","0.2375","0.2375","0.2375","70390","70390","70390","0.45625","0.45625","0.45625","70390","70390","70390","0.465625","0.465625","0.465625","70390","70390","70390","0.515625","0.515625","0.515625"
"1280","","","","","","","74151","74151","74151","0.465625","0.465625","0.465625","74151","74151","74151","0.484375","0.484375","0.484375","74151","74151","74151","0.5375","0.5375","0.5375"